coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
no_coords,GAM_multi_interactions_no_coords,Ophioscincus truncatus,random,128,8,999,0.1481788891703221,0.002
no_coords,GAM_multi_interactions_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.23969727144791725,0.001
no_coords,GAM_multi_interactions_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.011033325663283435,0.921
no_coords,GAM_multi_interactions_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.011672277652765167,0.642
no_coords,GAM_multi_interactions_no_coords,Saltuarius swaini,random,128,8,999,-0.004652044408591802,0.71
no_coords,GAM_multi_interactions_no_coords,Saltuarius swaini,spatial,128,8,999,0.4838676398287838,0.001
no_coords,GAM_multi_no_coords,Cacophis kreftii,random,128,8,999,0.073287493691252,0.033
no_coords,GAM_multi_no_coords,Cacophis kreftii,spatial,128,8,999,0.08280501918195972,0.001
no_coords,GAM_multi_no_coords,Calyptotis scutirostrum,random,128,8,999,0.17865035489488548,0.002
no_coords,GAM_multi_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2030619282306546,0.002
no_coords,GAM_multi_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.22795047818092523,0.001
no_coords,GAM_multi_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.4119734596591217,0.001
no_coords,GAM_multi_no_coords,Egernia mcpheei,random,128,8,999,0.052084048194497745,0.113
no_coords,GAM_multi_no_coords,Egernia mcpheei,spatial,128,8,999,-0.015131845930274524,0.664
no_coords,GAM_multi_no_coords,Eulamprus murrayi,random,128,8,999,0.00737477404251882,0.512
no_coords,GAM_multi_no_coords,Eulamprus murrayi,spatial,128,8,999,0.5965743937219826,0.001
no_coords,GAM_multi_no_coords,Ophioscincus truncatus,random,128,8,999,0.1563775983326096,0.001
no_coords,GAM_multi_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.32475355926386706,0.001
no_coords,GAM_multi_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.005490446502649854,0.981
no_coords,GAM_multi_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.002628704028581448,0.934
no_coords,GAM_multi_no_coords,Saltuarius swaini,random,128,8,999,0.00591868440139418,0.608
no_coords,GAM_multi_no_coords,Saltuarius swaini,spatial,128,8,999,0.5996562512038651,0.001
no_coords,GAM_single_no_coords,Cacophis kreftii,random,128,8,999,0.10903452179019524,0.014
no_coords,GAM_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.15947937708315357,0.001
no_coords,GAM_single_no_coords,Calyptotis scutirostrum,random,128,8,999,0.10396842389025725,0.019
no_coords,GAM_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.1803001921581906,0.002
no_coords,GAM_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.12758417780463957,0.005
no_coords,GAM_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.30878989034016563,0.001
no_coords,GAM_single_no_coords,Egernia mcpheei,random,128,8,999,0.04322710840818701,0.149
no_coords,GAM_single_no_coords,Egernia mcpheei,spatial,128,8,999,-0.002286630194187472,0.939
no_coords,GAM_single_no_coords,Eulamprus murrayi,random,128,8,999,-0.0029650552433611666,0.963
no_coords,GAM_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.5350530027276921,0.001
no_coords,GAM_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.1631944714632139,0.001
no_coords,GAM_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.21046585075074864,0.001
no_coords,GAM_single_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.021881281185692714,0.618
no_coords,GAM_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.013003911003661927,0.651
no_coords,GAM_single_no_coords,Saltuarius swaini,random,128,8,999,-0.009768731042033818,0.275
no_coords,GAM_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.6421732233230666,0.001
