model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_no_coords,spatial,False,Cacophis kreftii,4,1,balanced,,sqrt,5,500,103,4,0.1785876654531698,0.7929292929292929,0.1824149731126475,0.04883609641635648,0.25,0.25,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,4,2,balanced,,sqrt,5,500,103,4,0.2650103734068433,0.7878787878787878,0.11410024154589371,0.08452200273812145,0.11764705882352941,0.25,0.8787878787878788
RF_single_no_coords,spatial,False,Cacophis kreftii,4,3,balanced,,sqrt,5,500,102,3,0.23283859722501177,0.9023569023569024,0.19393939393939394,0.0720372620133125,0.15384615384615385,0.3333333333333333,0.9090909090909091
RF_single_no_coords,spatial,False,Cacophis kreftii,4,4,balanced,,sqrt,5,500,103,4,0.29447560884701357,0.7222222222222223,0.0999280016311135,0.09495068458180815,0.125,0.25,0.8888888888888888
RF_single_no_coords,spatial,False,Cacophis kreftii,4,5,balanced,,sqrt,5,500,102,4,0.2978781397816995,0.9081632653061225,0.2621212121212121,0.09537372398128857,0.3157894736842105,0.75,0.8775510204081632
RF_single_no_coords,spatial,False,Cacophis kreftii,5,1,balanced,20.0,sqrt,1,300,103,4,0.1812783946662012,0.7272727272727273,0.12037071535022355,0.04116396979544554,0.0,0.0,0.98989898989899
RF_single_no_coords,spatial,False,Cacophis kreftii,5,2,balanced,20.0,sqrt,1,300,103,4,0.18142619960944914,0.763888888888889,0.09627594627594627,0.05189439050723518,0.0,0.0,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,5,3,balanced,20.0,sqrt,1,300,102,3,0.1235357015588546,0.9191919191919191,0.23333333333333334,0.03866677559943247,0.2857142857142857,0.3333333333333333,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,5,4,balanced,20.0,sqrt,1,300,103,4,0.19485114380363072,0.6893939393939393,0.1136093038386467,0.05015620280500865,0.0,0.0,0.9797979797979798
RF_single_no_coords,spatial,False,Cacophis kreftii,5,5,balanced,20.0,sqrt,1,300,102,4,0.16401268558650842,0.9158163265306123,0.2901315789473684,0.05135642701550545,0.18181818181818182,0.25,0.9387755102040817
RF_single_no_coords,spatial,False,Cacophis kreftii,6,1,balanced,20.0,sqrt,1,500,103,4,0.1855112319324971,0.7146464646464646,0.12262767425810904,0.04078019417508738,0.0,0.0,0.98989898989899
RF_single_no_coords,spatial,False,Cacophis kreftii,6,2,balanced,20.0,sqrt,1,500,103,4,0.17761748026496127,0.7853535353535354,0.10055555555555556,0.05140955339826213,0.0,0.0,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,6,3,balanced,20.0,sqrt,1,500,102,3,0.12368621705290499,0.9158249158249158,0.22916666666666666,0.03857125490219608,0.2857142857142857,0.3333333333333333,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,6,4,balanced,20.0,sqrt,1,500,103,4,0.19683677699166094,0.672979797979798,0.11144688644688645,0.050105592233203884,0.0,0.0,0.9797979797979798
RF_single_no_coords,spatial,False,Cacophis kreftii,6,5,balanced,20.0,sqrt,1,500,102,4,0.16189743710025795,0.9132653061224489,0.2468434343434343,0.05087952941200981,0.18181818181818182,0.25,0.9387755102040817
RF_single_no_coords,spatial,False,Cacophis kreftii,7,1,balanced,20.0,sqrt,5,300,103,4,0.17546476178715903,0.8131313131313131,0.18726350189198487,0.048413374495734136,0.25,0.25,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,7,2,balanced,20.0,sqrt,5,300,103,4,0.26729161949253655,0.7954545454545454,0.11941425120772947,0.08541240503296595,0.11764705882352941,0.25,0.8787878787878788
RF_single_no_coords,spatial,False,Cacophis kreftii,7,3,balanced,20.0,sqrt,5,300,102,3,0.2357714041787023,0.9057239057239057,0.19657097288676234,0.07254305600356163,0.15384615384615385,0.3333333333333333,0.9090909090909091
RF_single_no_coords,spatial,False,Cacophis kreftii,7,4,balanced,20.0,sqrt,5,300,103,4,0.29558066066424316,0.7121212121212122,0.092551938316556,0.09510221684706723,0.125,0.25,0.8888888888888888
