model,species,log_loss_single_mean,log_loss_single_std,log_loss_multi_mean,log_loss_multi_std,diff_mean (single - multi)
LogisticRegression,Cacophis kreftii,0.4696999584984757,0.7435293083769411,0.30272624352772204,0.12574878145951135,0.16697371497075364
LogisticRegression,Calyptotis scutirostrum,0.56392233807782,0.9637641957725741,0.56817974019863,0.1956788831959846,-0.00425740212081005
LogisticRegression,Coeranoscincus reticulatus,0.6864093784254421,0.3793560571080919,1.0297350353281298,0.2929638628231972,-0.3433256569026877
LogisticRegression,Egernia mcpheei,0.36812524798982094,0.258319214260773,0.21750681060124605,0.09260832607854995,0.1506184373885749
LogisticRegression,Eulamprus murrayi,0.4584366430844088,0.139309157641183,0.08808505107321152,0.04575793967837037,0.3703515920111973
LogisticRegression,Ophioscincus truncatus,0.7069044258764943,0.21726858458335496,1.2498951776212843,0.3771971150809059,-0.5429907517447901
LogisticRegression,Pseudechis porphyricaus,0.5396182941508703,0.18319675641491223,0.3531025473699889,0.18051734332834826,0.18651574678088134
LogisticRegression,Saltuarius swaini,0.5318041351031919,0.5045906257426708,0.28092961266215405,0.12901434315032406,0.25087452244103786
LogisticRegression,__overall__,0.5406150526508156,0.2488139700553259,0.5112700272977959,0.14973755740320507,0.029345025353019638
MLP,Cacophis kreftii,0.23530135563298205,0.38006364227966116,0.2727536902917477,0.4477983425737482,-0.03745233465876563
MLP,Calyptotis scutirostrum,0.41020970491334896,0.5400656914202699,0.5255250178208268,0.7148752305321532,-0.11531531290747787
MLP,Coeranoscincus reticulatus,1.2556519536886572,1.3030020831212454,0.8158494877897007,0.7649668658850789,0.43980246589895655
MLP,Egernia mcpheei,0.14078333174029817,0.15786341331186463,0.28697641308673316,0.4075839682594366,-0.146193081346435
MLP,Eulamprus murrayi,0.04389794397007421,0.04892858103233084,0.12304716071272484,0.16379202252831898,-0.07914921674265063
MLP,Ophioscincus truncatus,1.4252446384862185,0.8196113831618119,0.8339850502089861,0.5258400263616796,0.5912595882772325
MLP,Pseudechis porphyricaus,0.18859308728103938,0.14516720847219852,0.22307236994399673,0.14554104028327391,-0.034479282662957356
MLP,Saltuarius swaini,0.19313450640711233,0.22489882419749094,0.3403363315560736,0.3457091243163109,-0.1472018251489613
MLP,__overall__,0.4866020652649663,0.24693350332011443,0.4276931901763487,0.3118112475341048,0.058908875088617585
RandomForest,Cacophis kreftii,0.10213321803777074,0.13230464106328027,0.11346998698670352,0.10332547333983753,-0.011336768948932777
RandomForest,Calyptotis scutirostrum,0.15354582890294366,0.17849298712259315,0.18434285400379755,0.18040239265879046,-0.030797025100853886
RandomForest,Coeranoscincus reticulatus,0.3845078686680098,0.34260130436164027,0.38901764188280014,0.30861432122010013,-0.004509773214790347
RandomForest,Egernia mcpheei,0.09410095663113749,0.0765522237880664,0.10463806155695878,0.061669628051378135,-0.010537104925821286
RandomForest,Eulamprus murrayi,0.09366555111957531,0.052526087823532054,0.06670666251538633,0.031137346096318325,0.026958888604188977
RandomForest,Ophioscincus truncatus,0.42036093630199484,0.16416768341604238,0.44257177220188043,0.17600070486086758,-0.022210835899885595
RandomForest,Pseudechis porphyricaus,0.12081151361458489,0.05873278835811596,0.13408331147188404,0.05917753243319778,-0.01327179785729915
RandomForest,Saltuarius swaini,0.17835585490417957,0.18763913032483592,0.12742759237485327,0.08084087726025321,0.05092826252932631
RandomForest,__overall__,0.1934352160225245,0.060670038940525264,0.19528223537428302,0.06891247608871671,-0.0018470193517585165
XGBoost,Cacophis kreftii,0.14258648171940924,0.20664978696931222,0.10784895129399516,0.12483606397978227,0.03473753042541408
XGBoost,Calyptotis scutirostrum,0.2092918930049675,0.26283460161001415,0.21645140081568756,0.21096199287847398,-0.007159507810720056
XGBoost,Coeranoscincus reticulatus,0.48397680937076465,0.5762258773172779,0.40466658899886115,0.3620242810095519,0.0793102203719035
XGBoost,Egernia mcpheei,0.10575297276753456,0.1151900324497286,0.09958891845042173,0.0823927767059564,0.006164054317112838
XGBoost,Eulamprus murrayi,0.07141783706841581,0.06124327577729195,0.044815787291686573,0.027453968381228013,0.02660204977672924
XGBoost,Ophioscincus truncatus,0.4937609336075767,0.2690570134404052,0.6863235538521747,0.3182192823672661,-0.19256262024459797
XGBoost,Pseudechis porphyricaus,0.1418178176267082,0.097526009122635,0.17416853424862688,0.0860570133011423,-0.032350716621918685
XGBoost,Saltuarius swaini,0.1254958812841096,0.13068055991187363,0.14245358218315352,0.07557661938564345,-0.016957700899043915
XGBoost,__overall__,0.22176257830618576,0.11380680500933495,0.2345396646418259,0.12136029424382395,-0.012777086335640148
